id,miinutos,diferecia peso,peso (g),hora,fecha 
X38,0,0.0000,3.2615,07:40,08/04/2026
OZ04,0,0.0000,2.7127,07:45,08/04/2026
FZ20,0,0.0000,2.9636,07:46,08/04/2026
DZ27,0,0.0000,3.0196,07:50,08/04/2026
VZ06,0,0.0000,2.2422,07:51,08/04/2026
X38,20,0.0011,3.24,08:00,08/04/2026
OZ04,20,0.0004,2.7054,08:05,08/04/2026
FZ20,20,0.0014,2.9348,08:06,08/04/2026
DZ27,20,0.0018,2.9836,08:10,08/04/2026
VZ06,20,0.0009,2.224,08:11,08/04/2026
X38,40,0.0018,3.2047,08:20,08/04/2026
OZ04,40,0.0020,2.6645,08:25,08/04/2026
FZ20,40,0.0011,2.9119,08:26,08/04/2026
DZ27,40,0.0014,2.9559,08:30,08/04/2026
VZ06,40,0.0007,2.211,08:31,08/04/2026
X38,60,0.0025,3.1539,08:40,08/04/2026
OZ04,60,0.0010,2.6443,08:45,08/04/2026
FZ20,60,0.0011,2.8893,08:46,08/04/2026
DZ27,60,0.0013,2.9297,08:50,08/04/2026
VZ06,60,0.0007,2.1965,08:51,08/04/2026
X38,80,0.0016,3.1227,09:00,08/04/2026
OZ04,80,0.0008,2.6274,09:05,08/04/2026
FZ20,80,0.0010,2.8694,09:06,08/04/2026
DZ27,80,0.0013,2.904,09:10,08/04/2026
VZ06,80,0.0007,2.1833,09:11,08/04/2026
X38,100,0.0014,3.0939,09:20,08/04/2026
OZ04,100,0.0008,2.6106,09:25,08/04/2026
FZ20,100,0.0009,2.8505,09:26,08/04/2026
DZ27,100,0.0014,2.8762,09:30,08/04/2026
VZ06,100,0.0006,2.1709,09:31,08/04/2026
X38,120,0.0012,3.0693,09:40,08/04/2026
OZ04,120,0.0008,2.5942,09:45,08/04/2026
FZ20,120,0.0009,2.8319,09:46,08/04/2026
DZ27,120,0.0013,2.8494,09:50,08/04/2026
VZ06,120,0.0006,2.1582,09:51,08/04/2026
X38,140,0.0012,3.0456,10:00,08/04/2026
OZ04,140,0.0009,2.5765,10:05,08/04/2026
FZ20,140,0.0008,2.8159,10:06,08/04/2026
DZ27,140,0.0012,2.8257,10:10,08/04/2026
VZ06,140,0.0006,2.1462,10:11,08/04/2026
X38,160,0.0012,3.0212,10:20,08/04/2026
OZ04,160,0.0012,2.5533,10:25,08/04/2026
FZ20,160,0.0009,2.7984,10:26,08/04/2026
DZ27,160,0.0011,2.8046,10:30,08/04/2026
VZ06,160,0.0005,2.1353,10:31,08/04/2026
X38,180,0.0012,2.997,10:40,08/04/2026
OZ04,180,0.0008,2.5365,10:45,08/04/2026
FZ20,180,0.0008,2.7819,10:46,08/04/2026
DZ27,180,0.0009,2.7875,10:50,08/04/2026
VZ06,180,0.0005,2.1258,10:51,08/04/2026
X38,200,0.0013,2.9717,11:00,08/04/2026
OZ04,200,0.0008,2.5206,11:05,08/04/2026
FZ20,200,0.0007,2.7677,11:06,08/04/2026
DZ27,200,0.0012,2.7635,11:10,08/04/2026
VZ06,200,0.0006,2.1129,11:11,08/04/2026
X38,220,0.0011,2.9493,11:20,08/04/2026
OZ04,220,0.0008,2.504,11:25,08/04/2026
FZ20,220,0.0008,2.7513,11:26,08/04/2026
DZ27,220,0.0010,2.743,11:30,08/04/2026
VZ06,220,0.0006,2.1013,11:31,08/04/2026
X38,240,0.0012,2.9248,11:40,08/04/2026
OZ04,240,0.0009,2.4853,11:45,08/04/2026
FZ20,240,0.0007,2.7364,11:46,08/04/2026
DZ27,240,0.0010,2.7233,11:50,08/04/2026
VZ06,240,0.0006,2.0896,11:51,08/04/2026
X38,260,0.0013,2.899,12:00,08/04/2026
OZ04,260,0.0008,2.4696,12:05,08/04/2026
FZ20,260,0.0007,2.7226,12:06,08/04/2026
DZ27,260,0.0011,2.7007,12:10,08/04/2026
VZ06,260,0.0006,2.0778,12:11,08/04/2026
X38,280,0.0012,2.8749,12:20,08/04/2026
OZ04,280,0.0008,2.4527,12:25,08/04/2026
FZ20,280,0.0007,2.7081,12:26,08/04/2026
DZ27,280,0.0009,2.6817,12:30,08/04/2026
VZ06,280,0.0005,2.0668,12:31,08/04/2026
X38,300,0.0012,2.8509,12:40,08/04/2026
OZ04,300,0.0008,2.4366,12:45,08/04/2026
FZ20,300,0.0006,2.6952,12:46,08/04/2026
DZ27,300,0.0010,2.6619,12:50,08/04/2026
VZ06,300,0.0005,2.056,12:51,08/04/2026
X38,320,0.0013,2.8252,13:00,08/04/2026
OZ04,320,0.0007,2.4222,13:05,08/04/2026
FZ20,320,0.0006,2.6826,13:06,08/04/2026
DZ27,320,0.0011,2.6402,13:10,08/04/2026
VZ06,320,0.0006,2.0437,13:11,08/04/2026
X38,340,0.0013,2.7991,13:20,08/04/2026
OZ04,340,0.0009,2.4052,13:25,08/04/2026
FZ20,340,0.0007,2.6693,13:26,08/04/2026
DZ27,340,0.0008,2.624,13:30,08/04/2026
VZ06,340,0.0005,2.0333,13:31,08/04/2026
X38,360,0.0011,2.7777,13:40,08/04/2026
